source	path	upstream_delta	project_relation	resolution	disposition	rationale
bup-union	_docs/qa/App/top-page-initial/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/ui-integration/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/ui-integration/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/workers-static-export-next16/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/workers-static-export-next16/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Legal/legal-pages/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Legal/legal-pages/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Site/design-system-full-adoption/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Site/design-system-full-adoption/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Site/first-view-light-shader/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Site/first-view-light-shader/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Site/top-page-rebuild/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Site/top-page-rebuild/verification.md	unchanged	project-only	keep	retained	Project_only_path
migration-created	_docs/qa/Workflow/docs-template-v1-2-migration/artifacts/inventory.tsv	unchanged	project-only	apply	migration-evidence	Migration_contract_or_verification_artifact
migration-created	_docs/qa/Workflow/docs-template-v1-2-migration/test-plan.md	unchanged	project-only	apply	migration-evidence	Migration_contract_or_verification_artifact
migration-created	_docs/qa/Workflow/docs-template-v1-2-migration/verification.md	unchanged	project-only	apply	migration-evidence	Migration_contract_or_verification_artifact
bup-union	_docs/qa/Workflow/docs-template-v1-migration/artifacts/inventory.tsv	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Workflow/docs-template-v1-migration/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Workflow/docs-template-v1-migration/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Workflow/docs-template-version-migration/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Workflow/docs-template-version-migration/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Workflow/lifecycle-self-audit/test-plan.md	removed	customized-shared	keep	already-absent	Upstream_removed_path_not_present_in_project
bup-union	_docs/qa/Workflow/lifecycle-self-audit/verification.md	removed	customized-shared	keep	already-absent	Upstream_removed_path_not_present_in_project
bup-union	_docs/qa/Workflow/temporary-workers-preview-skill/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/Workflow/temporary-workers-preview-skill/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/reference/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/reference/Site/visual-canon/reference.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/standards/documentation_guidelines.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_docs/standards/documentation_operations.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_docs/standards/quality_assurance.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/security_for_agents.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/draft.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/guide.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/intent.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/plan.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/qa-test-plan.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/qa-verification.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/reference.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/standards/templates/survey.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/survey/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/survey/Legal/legal-pages/survey.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_evals/agent-workflows/cases/agent-workflow-misbehavior-check.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/archive-flow.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/blocked-verification.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/breaking-change.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/bug-regression-test.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/experimental-baseline.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/high-risk-change-verification.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/historical-prompt-not-operational.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_evals/agent-workflows/cases/intentional-omission-risk.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_evals/agent-workflows/cases/malformed-todo-heading.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_evals/agent-workflows/cases/medium-feature.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/misleading-optimization.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/qa-prep-from-intent.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/qa-status-verdict-mismatch.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_evals/agent-workflows/cases/rationale-preserving-change.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/refactor-behavior-preservation.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/small-bug.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/stale-draft-cleanup.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/cases/template-version-migration.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/agent-workflows/expected-invariants.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_evals/agent-workflows/README.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/frontmatter/invalid/duplicate-field.md	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	_evals/validator-fixtures/frontmatter/invalid/duplicate-title.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_evals/validator-fixtures/frontmatter/invalid/intent-schema-on-qa.md	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	_evals/validator-fixtures/frontmatter/invalid/qa-schema-on-intent.md	added	project-only	merge	reconciled-to-U	Use_released_fixture_contract_over_pre_release_copy
bup-union	_evals/validator-fixtures/frontmatter/invalid/unknown-field.md	added	project-only	merge	reconciled-to-U	Use_released_fixture_contract_over_pre_release_copy
bup-union	_evals/validator-fixtures/frontmatter/invalid/wrong-intent-schema.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_evals/validator-fixtures/frontmatter/invalid/wrong-type.md	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	_evals/validator-fixtures/frontmatter/valid/intent-schema-v2.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_evals/validator-fixtures/frontmatter/valid/intent-schema.md	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	_evals/validator-fixtures/frontmatter/valid/qa-schema-v2.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_evals/validator-fixtures/frontmatter/valid/qa-schema.md	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	_evals/validator-fixtures/intent/invalid/missing-why.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/intent/invalid/orphan-invariant.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/intent/valid/decision.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/links/valid-reference-anchor.md	unchanged	customized-shared	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/qa/invalid/missing-invariant.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/qa/invalid/qa-archive-path.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/qa/invalid/status-verdict-mismatch.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/qa/invalid/v2-missing-decision-scope.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/qa/invalid/verification-in-progress-status.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/qa/invalid/verification-missing-test-plan-reference.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/qa/valid/test-plan.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/qa/valid/verification-pass.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/README.md	modified	customized-shared	merge	three-way-reconciled	Merge_upstream_update_with_project_customization
bup-union	_evals/validator-fixtures/todo/invalid/malformed-heading.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/todo/invalid/mismatched-heading-id.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/todo/invalid/missing-qa-for-medium.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/todo/invalid/missing-title.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_evals/validator-fixtures/todo/valid/basic.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.agents/skills/docs-cleanup/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.agents/skills/docs-inventory/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.agents/skills/docs-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.agents/skills/docs-template-migration/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.agents/skills/frontend-design/SKILL.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	.agents/skills/implementation-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.agents/skills/post-implementation/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.agents/skills/qa-prep/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.agents/skills/qa-review/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.agents/skills/temporary-workers-preview/SKILL.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	.agents/skills/test-maintenance/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.claude/settings.json	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.claude/skills/docs-cleanup/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.claude/skills/docs-inventory/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.claude/skills/docs-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.claude/skills/docs-template-migration/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.claude/skills/frontend-design/SKILL.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	.claude/skills/implementation-prep/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.claude/skills/post-implementation/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.claude/skills/qa-prep/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.claude/skills/qa-review/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.claude/skills/temporary-workers-preview/SKILL.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	.claude/skills/test-maintenance/SKILL.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	.codex/hooks.json	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	.env.example	unchanged	project-only	keep	retained	Project_only_path
bup-union	.github/workflows/docs-ci.yml	modified	customized-shared	keep	retained-project-customization	Template_self_starter_expansion_job_not_applicable
bup-union	.gitignore	unchanged	project-only	keep	retained	Project_only_path
bup-union	.markdownlint.jsonc	unchanged	customized-shared	keep	retained	No_upstream_change
bup-union	.openai/hosting.json	unchanged	project-only	keep	retained	Project_only_path
bup-union	AGENTS.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	app/_components/first-view/first-view.module.css	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/first-view/FirstView.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/first-view/light-engine.test.ts	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/first-view/light-engine.ts	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/first-view/light-policy.test.ts	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/first-view/light-policy.ts	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/first-view/LightShader.client.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/top-page/top-page.module.css	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/_components/top-page/TopPageContent.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/layout.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/legal-layout.module.css	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/medo/account-deletion/account-deletion.module.css	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/medo/account-deletion/page.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/medo/privacy/page.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/medo/terms/page.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/sarae/page.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/stash/page.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/(legal)/tokushoho/page.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/globals.css	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/layout.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/page.module.css	unchanged	project-only	keep	retained	Project_only_path
bup-union	app/page.tsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	biome.json	unchanged	project-only	keep	retained	Project_only_path
bup-union	CLAUDE.md	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	deno.json	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	docs-template.lock.example.json	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	docs-template.lock.json	unchanged	project-only	merge	migration-adjusted	Advance_provenance_after_compatibility_PASS
bup-union	LICENSE.txt	unchanged	customized-shared	keep	retained	No_upstream_change
bup-union	next.config.mjs	unchanged	project-only	keep	retained	Project_only_path
bup-union	package-lock.json	unchanged	project-only	keep	retained	Project_only_path
bup-union	package.json	unchanged	project-only	keep	retained	Project_only_path
bup-union	panda.config.ts	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/otibo-light-shader/index.html	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/.npmrc	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/AGENTS.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/artifacts/desktop-1440-final.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/artifacts/desktop-1440-viewport.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/artifacts/desktop-1440.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/artifacts/mobile-390-final.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/artifacts/mobile-390-viewport.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/design-qa.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/index.html	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/package-lock.json	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/package.json	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/src/App.jsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/src/main.jsx	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/src/styles.css	unchanged	project-only	keep	retained	Project_only_path
bup-union	prototypes/top-page-product-wireframe/vite.config.mjs	unchanged	project-only	keep	retained	Project_only_path
bup-union	public/first-view/light-height-map.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	public/first-view/light.frag	unchanged	project-only	keep	retained	Project_only_path
bup-union	public/products/medo/icon.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	QUICKSTART.md	modified	customized-shared	merge	three-way-reconciled	Import_hook_contract_without_false_starter_claim
bup-union	README.md	modified	upstream-owned-unmodified	merge	three-way-reconciled	Import_hook_contract_without_false_starter_claim
bup-union	scripts/agent-workflow-hook.mjs	removed	customized-shared	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/agent-workflow-hook.ts	added	upstream-owned-unmodified	merge	three-way-reconciled	Preserve_project_customization_in_upstream_addition
bup-union	scripts/blend-light-height-maps.mjs	unchanged	project-only	keep	retained	Project_only_path
bup-union	scripts/check-docs.sh	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	scripts/create-template-archive.sh	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	scripts/deploy-temporary-workers-preview.sh	unchanged	project-only	keep	retained	Project_only_path
bup-union	scripts/generate-light-height-map.mjs	unchanged	project-only	keep	retained	Project_only_path
bup-union	scripts/scope.mjs	removed	upstream-owned-unmodified	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/scope.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/test-agent-workflow-hook.mjs	removed	upstream-owned-unmodified	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/test-agent-workflow-hook.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/test-agent-workflow-smoke.mjs	removed	customized-shared	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/test-agent-workflow-smoke.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/test-validators.mjs	removed	customized-shared	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/test-validators.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/validate-doc-links.mjs	removed	upstream-owned-unmodified	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/validate-doc-links.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/validate-frontmatter.mjs	removed	customized-shared	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/validate-frontmatter.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/validate-intent.mjs	removed	upstream-owned-unmodified	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/validate-intent.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/validate-qa.mjs	removed	upstream-owned-unmodified	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/validate-qa.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
bup-union	scripts/validate-todo.mjs	removed	upstream-owned-unmodified	remove	removed	Owner_authorized_TypeScript_replacement
bup-union	scripts/validate-todo.ts	added	upstream-owned-unmodified	apply	applied	Applied_new_consumer_contract_path
